month,airline,avg(arrival_delay),avg(departure_delay)
7,MQ,3.980288601488751,9.06921102740293
7,B6,5.841453657304081,11.296232517115376
7,AA,3.870440173589585,9.721148618593388
7,OO,6.790332571915289,8.851215609154183
7,NK,14.352381885904725,16.4119257086999
7,UA,10.262550955899984,19.4049805684014
7,DL,1.2048615430547607,8.270346349871653
7,WN,10.50494168720143,15.616418929100078
7,AS,0.3774076663912021,2.5617315249081
7,EV,6.926420794387786,9.052346716212941
7,VX,7.135772659732541,9.75101965146459
7,HA,2.0015859284890425,0.7099049812841923
8,AA,3.193906591451949,9.357355267320468
8,WN,5.532107941923571,11.738553002445261
8,NK,20.51901828493204,22.256117773228038
8,OO,5.6066890665430815,7.74720181545444
8,VX,5.1062212796041,8.900652902770425
8,MQ,1.8965651496798754,8.275043029259896
8,DL,0.6531143476913542,7.746436386563972
8,HA,7.448029197080292,4.819096209912536
8,AS,2.5038986962759653,3.6687624501992033
8,EV,5.154422253922967,7.785357702349869
8,F9,9.175737381216834,8.849347129834936
8,UA,5.014040631049598,14.30611294649786
8,B6,9.280949544797073,14.604436150812163
9,NK,8.000101337657073,9.67331040064751
9,B6,3.5391536154615126,7.777772498336976
9,AA,-1.4327324113708704,4.966656628979715
9,EV,0.851061867318468,3.5851717236778544
9,MQ,-2.167267657098899,4.605790432365065
9,AS,-1.8137998875772907,0.2328421052631579
9,VX,0.07099786033845555,3.2929626749611196
9,UA,-1.794264698812557,7.451806361848102
9,OO,1.5308958417183893,3.8653516838967463
9,DL,-3.703377345378735,3.514294040911488
9,F9,0.9784603619678818,5.095134997452878
9,HA,3.696915292965562,2.096526985162237
9,WN,-1.3362598507775747,5.380072402341607
10,EV,2.3037601648534265,4.631744067871503
10,B6,3.6767871929340328,8.036856841235599
10,MQ,-3.73505378329717,3.4575873337322225
10,DL,-5.011516340215749,3.2157428613034327
10,F9,0.0821273964131107,4.031029793546792
10,WN,-0.6888508740737893,6.052321954683737
10,OO,1.750897166192303,3.6505505814551817
10,NK,6.810736135780541,8.284940411700974
10,AS,-2.9936173164978492,-0.08837789167474719
10,VX,2.2542778288868446,7.083256754273112
10,HA,0.4670735624799229,0.16837881219903691
10,UA,-2.4565417286977844,7.381777272925859
10,AA,-0.5809298123878975,5.313371455428482
11,MQ,0.22006104184987843,7.2038635429510895
11,DL,-3.1754137902353823,4.537664783427496
11,WN,0.9956842923794712,7.865229241229474
11,F9,11.164527421236873,11.658946823651183
11,VX,0.11637043966323667,5.780515117581187
11,AS,-1.9165164732175042,1.7074345700316365
11,NK,7.543880597014925,8.645632515154526
11,OO,4.925548167753319,6.818505338078292
11,B6,1.4182991365704205,7.108176974750984
